N	Key word	Freq.	%	Texts	RC. Freq.	RC. %	BIC	Log_L	Log_R	D-Diff
354	PENALES	56	0	11	3.497	0	212,9	232,5	4,38	0,17
355	DELEGADO	56	0	4	5.210	0	171,18	190,78	3,8	0,41
356	REAGRUPAR	55	0	4	149	0	531,53	551,13	8,91	0,54
357	AUTONÓMICO	55	0	1	2.366	0	247,7	267,3	4,92	0,23
358	ª	54	0	10	4.610	0	172,96	192,56	3,93	0,25
359	AUTORIZADO	54	0	9	2.300	0	243,87	263,47	4,93	0,21
360	PRESENTADA	54	0	6	7.781	0	121,56	141,16	3,17	0,22
361	REAGRUPANTE	54	0	4	19	0	671,09	690,69	11,85	0,29
362	REGULA	54	0	15	2.478	0	236,18	255,78	4,82	0,15
363	REVOCACIÓN	54	0	8	700	0	367,08	386,68	6,65	0,35
364	VÁLIDO	54	0	10	2.714	0	226,82	246,42	4,69	0,33
365	VALORAR	52	0	7	3.090	0	201,17	220,77	4,45	0,45
366	CARECER	52	0	4	1.286	0	288,36	307,96	5,71	0,43
367	DECLARAR	51	0	4	6.083	0	130,98	150,58	3,45	0,57
368	EXPEDIDO	51	0	10	380	0	398,93	418,53	7,45	0,23
369	MOTIVADA	51	0	11	1.001	0	305,09	324,69	6,05	0,21
370	TUTELA	51	0	9	2.416	0	218,88	238,48	4,78	0,33
371	DENEGAR	50	0	3	725	0	327,74	347,34	6,49	0,38
372	INSTRUCCIONES	50	0	9	6.839	0	115,73	135,33	3,25	0,57
373	PRESENTARSE	50	0	9	4.446	0	154,92	174,52	3,87	0,15
374	ABONO	49	0	7	1.335	0	261,47	281,07	5,58	0,2
375	OBLIGATORIO	49	0	4	3.450	0	172,76	192,36	4,21	0,45
376	ALEGACIÓN	48	0	1	449	0	353,82	373,42	7,12	0,12
377	ATRIBUIR	47	0	1	1.976	0	210,88	230,49	4,95	0,58
378	CERTIFICACIÓN	47	0	4	2.573	0	187,24	206,84	4,57	0,19
379	CONSULARES	47	0	8	320	0	373,99	393,59	7,58	0,13
380	GRATUITO	47	0	2	2.581	0	186,97	206,57	4,56	0,34
381	INTERNADO	47	0	2	1.364	0	244,29	263,89	5,48	0,44
382	SOMETER	46	0	3	3.103	0	164,69	184,29	4,27	0,49
383	FRONTERIZO	46	0	8	1.948	0	205,34	224,94	4,94	0,35
384	CONVIVENCIA	45	0	11	4.872	0	121,18	140,78	3,58	0,11
385	LIMITAR	45	0	3	4.414	0	129,32	148,92	3,73	0,41
386	PRECISAR	45	0	2	2.568	0	174,9	194,5	4,51	0,55
387	PROCEDENCIA	45	0	8	3.508	0	148,48	168,08	4,06	0,1
388	SUBDELEGADO	45	0	3	368	0	341,86	361,46	7,31	0,21
389	ADMISIÓN	44	0	8	2.299	0	177,94	197,54	4,64	0,25
390	CONCURRENCIA	44	0	8	1.979	0	190,5	210,1	4,85	0,16
391	CONSTANCIA	44	0	7	4.570	0	121,39	140,99	3,64	0,22
392	EXPEDIENTES	44	0	9	2.225	0	180,68	200,28	4,68	0,17
393	EXPRESAMENTE	44	0	10	4.396	0	124,52	144,12	3,7	0,14
394	HUMANITARIO	44	0	3	1.912	0	193,4	213	4,9	0,28
395	INSTRUCTOR	44	0	5	1.600	0	208,4	228	5,16	0,63
396	INVITACIÓN	44	0	4	4.149	0	129,2	148,8	3,78	0,63
397	ALEGAR	43	0	3	736	0	265,45	285,05	6,25	0,51
398	PRORROGAR	43	0	5	571	0	286,33	305,94	6,61	0,47
399	TRANSCURRIDO	43	0	9	2.860	0	153,81	173,41	4,29	0,17
400	TRANSITORIO	42	0	3	1.543	0	197,21	216,81	5,14	0,17
401	CONSOLIDADO	42	0	18	1.594	0	194,59	214,19	5,1	0,12
402	APÁTRIDAS	41	0	8	155	0	367,54	387,14	8,42	0,23
403	CONCURRAN	41	0	8	270	0	326,27	345,87	7,62	0,13
404	CURSAR	41	0	3	859	0	236,28	255,88	5,95	0,6
405	INTERNADOS	41	0	2	454	0	286,28	305,88	6,87	0,39
406	SUSCRIBIR	40	0	2	894	0	225,07	244,67	5,86	0,52
407	ALOJAMIENTOS	40	0	1	530	0	265,16	284,76	6,62	0,74
408	ACREDITACIÓN	39	0	12	757	0	229,52	249,12	6,06	0,45
409	AFECTAR	39	0	4	3.592	0	113,99	133,59	3,82	0,61
410	CUSTODIA	39	0	4	3.509	0	115,67	135,27	3,85	0,3
411	DERIVADA	39	0	5	2.563	0	138,56	158,16	4,3	0,11
412	DETERMINEN	39	0	8	423	0	272,89	292,49	6,9	0,22
413	EXCEPCIONALMENTE	39	0	10	1.460	0	180,32	199,92	5,12	0,19
414	INICIACIÓN	39	0	5	3.128	0	124	143,6	4,02	0,16
415	LUCRATIVO	39	0	1	753	0	229,92	249,52	6,07	0,17
416	MIGRATORIO	39	0	3	660	0	239,79	259,39	6,26	0,34
417	RESOLVERÁ	39	0	8	628	0	243,5	263,1	6,33	0,15
418	DEROGADO	38	0	5	249	0	301,32	320,92	7,63	0,44
419	EMIGRACIÓN	38	0	3	3.207	0	116,72	136,32	3,94	0,4
420	ITINERARIO	38	0	3	1.622	0	165,65	185,25	4,93	0,59
421	NIF	38	0	3	84	0	374,11	393,71	9,2	0,45
422	CONCRETAR	37	0	2	1.901	0	147,7	167,3	4,66	0,52
423	FIGURAR	37	0	4	1.693	0	155,86	175,46	4,83	0,54
424	PREFERENTE	37	0	8	1.265	0	176,5	196,1	5,25	0,27
425	PROVEER	37	0	2	2.159	0	138,76	158,36	4,48	0,51
426	RENOVAR	37	0	4	2.569	0	126,62	146,22	4,23	0,62
427	ARCHIVAR	36	0	2	261	0	277,66	297,26	7,49	0,39
428	COMPROBACIÓN	36	0	9	1.221	0	171,75	191,35	5,26	0,2
429	ESCOLARIZACIÓN	36	0	2	633	0	217,19	236,79	6,21	0,26
430	RESIDIDO	36	0	6	249	0	280,82	300,42	7,55	0,26
431	ACNUR	35	0	3	774	0	195,2	214,8	5,88	0,39
432	NIE	35	0	7	127	0	313,42	333,02	8,48	0,38
433	TITULARIDAD	35	0	4	2.154	0	126,67	146,28	4,4	0,19
434	CONTINUADA	34	0	9	1.725	0	134,95	154,55	4,68	0,28
435	HABILITADO	34	0	3	624	0	201,24	220,84	6,15	0,53
436	IMPRESO	34	0	4	2.376	0	114,36	133,96	4,22	0,38
437	REMITIR	34	0	3	1.041	0	167,8	187,4	5,41	0,37
438	RETRIBUCIÓN	34	0	5	1.828	0	131,2	150,8	4,59	0,26
439	ACORDADA	33	0	6	1.265	0	148,06	167,66	5,08	0,22
440	CONTRIBUTIVO	33	0	2	73	0	322,27	341,87	9,2	0,34
441	EMPLEADORES	33	0	3	809	0	176,39	195,99	5,73	0,62
442	IMPLICAR	33	0	2	1.625	0	132,28	151,88	4,72	0,37
443	ASCENDIENTE	32	0	2	382	0	214,57	234,17	6,77	0,36
444	ACREDITADA	32	0	7	609	0	186,02	205,62	6,09	0,16
445	EXENCIÓN	31	0	4	1.515	0	123,52	143,12	4,73	0,57
446	RECABAR	31	0	8	859	0	157,21	176,81	5,55	0,41
447	CADUCIDAD	30	0	9	585	0	171,77	191,37	6,06	0,11
448	CONTRIBUTIVA	30	0	3	151	0	248,27	267,87	8,01	0,32
449	ESTIME	30	0	7	616	0	168,79	188,39	5,98	0,11
450	FINALIZACIÓN	30	0	8	1.473	0	118,63	138,23	4,73	0,13
451	REQUERIMIENTO	30	0	4	1.411	0	121,09	140,69	4,79	0,24
452	ANÁLOGO	29	0	2	1.226	0	122,31	141,91	4,94	0,38
453	HABILITACIÓN	29	0	11	652	0	157,46	177,06	5,85	0,27
454	REGIR	29	0	2	860	0	142,02	161,62	5,45	0,6
455	REPATRIACIÓN	29	0	4	1.256	0	120,97	140,57	4,91	0,33
456	SALVOCONDUCTO	29	0	3	277	0	204,87	224,47	7,09	0,46
457	VULNERABILIDAD	29	0	5	947	0	136,66	156,26	5,31	0,7
458	DETERMINARÁ	28	0	10	813	0	137,59	157,19	5,48	0,11
459	INCOACIÓN	28	0	5	191	0	214,78	234,38	7,57	0,12
460	INCURRIR	28	0	2	759	0	141,28	160,88	5,58	0,63
461	RECAER	28	0	3	671	0	147,92	167,52	5,76	0,55
462	SOLICITE	28	0	7	662	0	148,64	168,24	5,78	0,11
463	RESPECTIVO	27	0	2	1.104	0	114,24	133,84	4,99	0,35
464	ARRAIGO	26	0	3	845	0	120,73	140,33	5,32	0,59
465	LUCRATIVA	26	0	4	285	0	174,87	194,47	6,89	0,37
466	NOTIFICADA	26	0	8	463	0	150,78	170,38	6,19	0,27
467	PROGENITOR	26	0	4	690	0	130,85	150,45	5,61	0,62
468	BENEFICIARIAS	25	0	3	140	0	198,76	218,36	7,86	0,42
469	DESPLAZADAS	25	0	5	762	0	118,41	138,01	5,41	0,45
470	EXPEDIDA	25	0	4	230	0	175,67	195,27	7,14	0,27
471	TRANSPORTISTA	25	0	2	247	0	172,31	191,91	7,04	0,39
472	CONCEDERÁ	24	0	6	536	0	127,24	146,84	5,86	0,18
473	INCOAR	24	0	3	155	0	183,73	203,33	7,65	0,42
474	INCURSO	24	0	6	45	0	235,47	255,07	9,44	0,43
475	TRIPARTITA	24	0	4	443	0	136,02	155,62	6,14	0,2
476	HABILITA	23	0	5	355	0	137,43	157,03	6,4	0,26
477	NOMINATIVO	23	0	3	209	0	160,59	180,19	7,16	0,62
478	RENOVACIONES	22	0	5	192	0	154,43	174,03	7,22	0,3
479	ASCENDIENTES	22	0	7	290	0	137,23	156,83	6,62	0,22
480	CIF	21	0	1	58	0	190,14	209,74	8,88	0,57
481	CUMPLIMENTAR	21	0	4	199	0	143,26	162,86	7,1	0,56
482	EXPEDIDOS	21	0	7	163	0	151,13	170,73	7,39	0,26
483	PRORROGARÁ	21	0	3	33	0	209,42	229,02	9,69	0,26
484	RESIDA	21	0	3	218	0	139,64	159,24	6,97	0,24
485	TFNO	21	0	1	24	0	219,4	239	10,15	0,36
486	SUBDELEGACIONES	20	0	2	289	0	119,47	139,07	6,49	0,27
487	RESIDAN	20	0	4	219	0	130,03	149,63	6,89	0,29
488	COMPUTAR	19	0	1	176	0	128,56	148,16	7,13	0,64
489	DEROGATORIA	19	0	13	130	0	139,34	158,94	7,57	0,18
490	GUBERNATIVO	19	0	2	129	0	139,61	159,21	7,58	0,48
491	HABILITARÁ	19	0	4	50	0	171,72	191,32	8,95	0,11
492	REAGRUPADOS	19	0	3	51	0	171,09	190,69	8,92	0,28
493	VALORARÁ	19	0	5	186	0	126,58	146,18	7,05	0,1
494	REEXAMEN	18	0	2	41	0	166	185,6	9,16	0,47
495	FDO	17	0	1	70	0	138,34	157,94	8,3	0,19
496	CADUCAR	14	0	1	51	0	113,51	133,11	8,48	0,73
497	PRESÉNTENSE	14	0	1	4	0	162,1	181,7	12,15	0,13
498	REAGRUPADO	14	0	2	41	0	118,83	138,43	8,79	0,67
499	UNIPROVINCIALES	12	0	3	15	0	115,41	135,01	10,02	0,19
500	IPREM	12	0	1	16	0	114,26	133,86	9,93	0,2
